event_date,customer_id,customer_descriptive_name,asset_id,asset_source,asset_type,asset_policy_summary_review_status,asset_policy_summary_policy_topic_entries_topics,asset_policy_summary_approval_status,asset_level,example_campaign_id,example_ad_group_id,counts
,1111111111,UK Account,111111111111,ADVERTISER,SITELINK,REVIEWED,INSUFFICIENT_ORIGINAL_CONTENT,DISAPPROVED,Campaign,123123123,0,1
,1111111111,UK Account,111111111112,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Campaign,123123123,0,1
,1111111111,UK Account,111111111113,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Account,0,0,1
,1111111111,UK Account,111111111114,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Campaign,123123123,321321321,1
,1111111111,UK Account,111111111115,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Campaign,123123123,321321321,1
,1111111111,UK Account,111111111116,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Account,0,0,1
,1111111111,UK Account,111111111117,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Account,0,0,1
,1111111111,UK Account,111111111118,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Account,0,0,1
,1111111111,UK Account,111111111119,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Account,0,0,1
,1111111111,UK Account,111111111120,ADVERTISER,STRUCTURED_SNIPPET,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Campaign,123123123,0,1
,1111111111,UK Account,111111111121,ADVERTISER,SITELINK,REVIEWED,INSUFFICIENT_ORIGINAL_CONTENT,DISAPPROVED,Campaign,123123123,0,5
,1111111111,UK Account,111111111122,ADVERTISER,SITELINK,REVIEWED,INSUFFICIENT_ORIGINAL_CONTENT,DISAPPROVED,Ad Group,123123123,321321321,12
,1111111111,UK Account,111111111123,ADVERTISER,CALLOUT,REVIEWED,TRADEMARKS_IN_AD_TEXT,APPROVED_LIMITED,Ad Group,123123123,321321321,12
,1111111111,UK Account,111111111124,ADVERTISER,CALLOUT,REVIEWED,TOBACCO | RECREATIONAL_DRUGS,DISAPPROVED,Ad Group,123123123,321321321,37
